r,theta,z
57.0,-174.0,-285.0
182.0,-174.0,-231.0
265.0,-174.0,-122.0
272.0,-174.0,125.0
185.0,-174.0,234.0
58.0,-174.0,292.0
280.0,-173.0,-103.0
293.0,-173.0,-35.0
291.0,-173.0,-11.0
290.0,-173.0,11.0
290.0,-173.0,34.0
274.0,-173.0,101.0
122.0,-172.0,-265.0
163.0,-172.0,-244.0
285.0,-172.0,-57.0
291.0,-172.0,58.0
165.0,-172.0,247.0
123.0,-172.0,267.0
215.0,-171.0,-198.0
215.0,-171.0,-198.0
256.0,-171.0,-143.0
282.0,-171.0,-80.0
280.0,-171.0,79.0
261.0,-171.0,146.0
234.0,-171.0,184.0
219.0,-171.0,203.0
243.0,-170.0,-163.0
245.0,-170.0,164.0
268.0,-169.0,-123.0
269.0,-169.0,124.0
203.0,-168.0,-220.0
276.0,-168.0,-102.0
292.0,-168.0,-35.0
294.0,-168.0,-12.0
292.0,-168.0,11.0
292.0,-168.0,11.0
275.0,-168.0,101.0
199.0,-168.0,215.0
79.0,-167.0,-280.0
184.0,-167.0,-234.0
285.0,-167.0,-57.0
287.0,-167.0,57.0
180.0,-167.0,229.0
79.0,-167.0,279.0
143.0,-166.0,-256.0
260.0,-166.0,-146.0
283.0,-166.0,-80.0
289.0,-166.0,81.0
256.0,-166.0,143.0
145.0,-166.0,260.0
235.0,-165.0,-185.0
242.0,-165.0,-161.0
247.0,-165.0,165.0
235.0,-165.0,185.0
163.0,-164.0,-244.0
